task,measure,ce,bacc,logloss,auc,mcc,catboost.learning_rate,catboost.depth,catboost.l2_leaf_reg
sick,ce,0.00530293461327944,0.968717759764186,0.0276405089114031,0.997594424320425,0.953196210284003,-1.28963209362429,9,79.0384752917069
spambase,ce,0.0349891540130152,0.962833732731794,0.126169361473183,0.987992978466086,0.926855185141201,-1.80684847316233,16,115.57576655805
splice,ce,0.0247648902821317,0.974099066578458,0.209609651234098,0.996371132177941,0.959981061102137,-2.61321792864019,12,2.06686511972547
steel-plates-fault,ce,0.164879725085911,0.846542598893151,0.52018205311798,0.979413584850153,0.788233350894524,-0.513159479458895,15,5.94525608161581
sylvine,ce,0.0419563992446394,0.958038211332685,0.133307834751076,0.987911458887479,0.917378672847399,-1.24297489997832,10,35.9594429672707
tic-tac-toe,ce,0,1,0.124447447494586,1,1,-0.162785458337735,4,312.004933401094
vehicle,ce,0.176106442577031,0.825892857142857,0.50692909230962,0.948632200910909,0.767856484470368,-0.14968508625875,6,4.04802164655481
volkert,ce,0.262013376779283,0.664991063374121,0.761034500613702,0.966694334020695,0.690437165027049,-2.52068735478772,16,13.1231154334226
wall-robot-navigation,ce,0.00128272339281514,0.99771280903065,0.0121753634245008,0.999934787945437,0.998067799167944,-0.651180372652232,8,0.0521304895384237
wdbc,ce,0.0105263157894737,0.986922799422799,0.0955153243379815,0.994329004329004,0.977847188545303,-1.86030521751562,3,4.47651574972156
wilt,ce,0.0095058433003097,0.931633167818227,0.0373657628983527,0.992465798585547,0.903602742217064,-0.956692848917938,15,8.20618884783308
APSFailure,bacc,0.00505263157894737,0.909959395194386,0.0193809827767716,0.99066951446573,0.852792983453244,-0.917764491901811,14,17.9101619981122
Amazon_employee_access,bacc,0.043303048628041,0.722236423452037,0.142862207004528,0.885255680492393,0.541010854560805,-0.564395874226421,8,31.712036991793
Australian,bacc,0.0869565217391304,0.913916677549954,0.32219114702487,0.939173015251114,0.826363079212205,-0.724939725668723,2,1.20963174296939
Bioresponse,bacc,0.17755390070922,0.820385032978849,0.439490262474831,0.879349493693377,0.642056495576598,-1.34199358614055,11,195.562287940905
GesturePhaseSegmentationProcessed,bacc,0.272966171566396,0.678458826628823,0.755098852920341,0.935362188533855,0.641016128691855,-0.338738880975384,16,59.7183637979708
Internet-Advertisements,bacc,0.0176894532706795,0.951438482886216,0.0878540913594435,0.978661219035872,0.92552058559755,-0.439112491434044,13,5.13480904459301
KDDCup09_appetency,bacc,0.02022,0.540690927727024,0.101256212000406,0.748242537390265,0.147171618476074,-0.0720073769299206,5,1.52779799181549
MiceProtein,bacc,0.000925925925925926,0.999166666666667,0.110109067129448,0.999965986394558,0.998950362958603,-0.746010501868013,6,1.71047836196027
PhishingWebsites,bacc,0.0217096380908741,0.977378957153305,0.0648244947346185,0.997106807946822,0.95608710089798,-0.110521111073003,9,40.2390649882029
adult,bacc,0.123397969012094,0.806547184095713,0.274378022324231,0.929878163964465,0.64702711308726,-2.35092105551034,16,26.312213847735
analcatdata_authorship,bacc,0.00119047619047619,0.999193548387097,0.088156193984886,0.999981460882462,0.998304394288316,-1.21900260321969,16,3.23486702468456
analcatdata_dmft,bacc,0.693908227848101,0.303536324786325,1.90385203720636,0.600174587520741,0.16709760079181,-0.153769593444347,8,0.786374694233295
balance-scale,bacc,0.0304147465437788,0.91568144499179,0.122680644172098,0.991387520525451,0.947441758284822,-0.0384536724021282,16,0.295017544296337
bank-marketing,bacc,0.0898896358739074,0.745219185349106,0.206867506279722,0.929989829419478,0.533063618487228,-0.462935896384921,15,281.247253534996
banknote-authentication,bacc,0,1,0.0676488283437952,1,1,-1.40682706651485,2,11.8184301987261
blood-transfusion-service-center,bacc,0.187153153153153,0.705426556587547,0.474515730698338,0.755194358445132,0.450898092392676,-0.0760025023890888,3,43.468623951796
breast-w,bacc,0.0114492753623188,0.990259661835749,0.638420321246725,0.989969122383253,0.975385976024332,-4.21701118336042,11,460.223425022572
car,bacc,0,1,0.035594312996298,1,1,-0.814049202442504,12,0.0335992843105923
churn,bacc,0.0336,0.900611941830416,0.152120678724075,0.923202925254678,0.856562068349176,-0.398757904495814,11,161.133240654343
climate-model-simulation-crashes,bacc,0.0333333333333333,0.843438775510204,0.135955912124552,0.938510204081633,0.774017184133139,-0.476434368971721,2,28.1609129210166
cmc,bacc,0.392388306674021,0.583201181066456,0.897432203181596,0.764205418254884,0.390678466619777,-0.806625325828345,6,9.46275385313947
cnae-9,bacc,0.0398148148148148,0.960185185185185,0.270351736820643,0.998360339506173,0.95574803133945,-1.63578325027828,16,0.130165930029936
