task,measure,ce,bacc,logloss,auc,mcc,xgboost.eta,xgboost.max_depth,xgboost.colsample_bytree,xgboost.colsample_bylevel,xgboost.lambda,xgboost.alpha,xgboost.subsample
sylvine,logloss,0.0470318591617934,0.952966166099222,0.124967613016755,0.990011264192455,0.90749719471779,-4.08925635256801,20,0.651582065899856,0.967408918729052,-5.32608934123238,-6.25050506138508,0.989957456779666
tic-tac-toe,logloss,0,1,0.0115277357095851,1,1,-1.03666819968891,3,0.848147719819099,0.564341012411751,-3.38278778832275,-5.26490924628712,0.996775347320363
vehicle,logloss,0.208025210084034,0.79400974025974,0.403397127819529,0.949415084674825,0.724482334218923,-1.79785410843752,2,0.671967084496282,0.616785629210062,-6.45779711744527,-5.45149864556194,0.366167602594942
volkert,logloss,0.272440404733322,0.647637547815736,0.772378708579234,0.963533550908563,0.677853516573997,-3.8639869187015,10,0.782070205523633,0.604383345134556,4.15044750804755,-0.265902128024068,0.983092471887358
wall-robot-navigation,logloss,0.00238162449171624,0.995101939076303,0.00700047267024986,0.999992573981096,0.996417341234443,-0.343061346461094,2,0.988983249757439,0.918810749333352,-1.49029921774531,-3.97136229770037,0.605023103952408
wdbc,logloss,0.0158208020050125,0.981616161616162,0.0551422210916832,0.996107503607504,0.966587997598234,-0.579942816628942,1,0.339514676644467,0.875245629693382,-2.19593823870211,-4.58512835524799,0.614988410659134
wilt,logloss,0.0130182399945246,0.90982429983032,0.0375998569716074,0.993493382540042,0.86673455919036,-1.3415349832893,20,0.830640076985583,0.853952908189967,1.37441448255152,-2.0477737531536,0.26665201340802
APSFailure,auc,0.00572368421052632,0.879608187105158,0.0180435793629353,0.994614328701291,0.828256835902438,-2.46244588313055,11,0.837280299048871,0.247443034709431,-1.32771552682421,-6.44543937242722,0.285846201190725
Amazon_employee_access,auc,0.054777376863126,0.54987500320965,0.478118042183553,0.86988339978743,0.249113730474869,-5.68167514167776,17,0.222149319853634,0.901786704594269,-5.13577937572607,-5.31891534712965,0.963291753246449
Australian,auc,0.120289855072464,0.878914283226677,0.288753023570286,0.956301713755025,0.760050923009084,-1.19041419239454,2,0.900569252856076,0.53825804037042,-5.53503133243133,-6.80891853434689,0.294448934402317
Bioresponse,auc,0.191416312056738,0.806065573642899,0.433765772846032,0.889559966607295,0.614099437234108,-3.51403611227209,9,0.967637760611251,0.675189360696822,0.831181280081716,-2.28398249450934,0.727487902715802
Fashion-MNIST,auc,0.0865285714285714,0.913471428571429,0.235955009712131,0.996065256235828,0.903913271421945,-3.92451394997247,5,0.841431990847923,0.207220898428932,-5.71225411735773,0.570392827725184,0.944090231298469
GesturePhaseSegmentationProcessed,auc,0.278536972545931,0.662729827084741,0.762544895743885,0.935228023794684,0.633450603378706,-4.29600205651268,19,0.985714630642906,0.803568194597028,0.413856828513583,-4.70042381180885,0.740103398938663
Internet-Advertisements,auc,0.0228733124487208,0.931953952101963,0.0804233580749131,0.990270582793709,0.902781343955857,-1.57085277857324,15,0.172434006840922,0.825810147356242,-5.20737396811226,-3.9217678494612,0.940072827227414
KDDCup09_appetency,auc,0.0178,0.5,0.443536621701668,0.757159689667086,0,-4.92583862487487,13,0.107193652936257,0.138382813544013,-2.45532677513996,-1.21506913658022,0.926033891900443
MiceProtein,auc,0.0148148148148148,0.985580669330669,1.73702478655699,0.999981684981685,0.98334216086339,-6.16183090788463,15,0.685129410989001,0.276507544586784,-5.08882120523993,-6.47859718061033,0.978917096873163
PhishingWebsites,auc,0.0260512384116256,0.973021097730782,0.0634913147134489,0.997551800087533,0.947289363685559,-2.24066970117041,14,0.307524034264497,0.869204149604775,-3.43192761112833,-5.49090713784652,0.99842483503744
