task,measure,ce,bacc,logloss,auc,mcc,svm.cost,svm.gamma
kr-vs-kp,ce,0.00344043887147335,0.99654005971545,0.0192724703527568,0.99959506956222,0.993126924892992,6.83221072860389,-5.817603517527
madelon,ce,0.393461538461539,0.606538461538462,0.678243054710497,0.641568047337278,0.213735282975543,-0.0780276170055538,-5.03981254997045
mfeat-factors,ce,0.0165,0.9835,0.0983566235003304,0.999838888888889,0.981745507284418,5.55878807877855,-5.99466516530302
mfeat-fourier,ce,0.147,0.853,0.39262234911998,0.987988888888889,0.837246648685413,3.11317970849037,-5.06653527688384
mfeat-karhunen,ce,0.0195,0.9805,0.114721332983922,0.999844444444444,0.978420183074239,0.669687266501224,-4.46454954131027
mfeat-morphological,ce,0.2225,0.7775,0.626883174148457,0.97615,0.753835735681293,1.30996442489337,0.947162345018241
mfeat-pixel,ce,0.018,0.982,0.110984020597854,0.999805555555556,0.980083984403888,6.22360414251461,-4.27286132847503
mfeat-zernike,ce,0.0985,0.9015,0.305828866058035,0.993961111111111,0.890877058027842,3.37549306600336,-3.32040741712733
nomao,ce,0.0354852546167561,0.956445521706804,0.0984350946159825,0.992105616622026,0.913068963103096,3.60538778145789,-5.39935789302482
optdigits,ce,0.0096085409252669,0.990406140743709,0.052287488341108,0.999933638372848,0.989345819095034,2.95240472989177,-4.97544616122532
ozone-level-8hr,ce,0.0497230089321839,0.676196459596497,0.153756754421168,0.896681093323405,0.478238087391933,-0.288722909024746,-4.25523594382256
pc1,ce,0.0577149877149877,0.606098634375333,0.201701490886209,0.826240931398698,0.361068914226955,1.94332451138573,0.359404109611817
pc3,ce,0.0959701126898579,0.536785714285714,0.314072689601279,0.735629749240122,0.216111386917659,7.90481076595942,3.5964362131253
pc4,ce,0.0836750118091639,0.684101817810458,0.243355194787594,0.912911049836601,0.534648019758147,5.83719180256382,-6.08060351060695
pendigits,ce,0.00282000165439656,0.99714947335525,0.0179071128425371,0.999969248110356,0.996868913157205,1.9186363780916,-2.35457614687429
phoneme,ce,0.095479906893955,0.873476671506404,0.267011920084797,0.940715180335376,0.765640611353249,0.487678232247919,2.09522114748181
qsar-biodeg,ce,0.109973045822102,0.869461697722567,0.297386661794285,0.937296920700647,0.750964204119421,2.08599723552385,-3.39137975246431
satimage,ce,0.0707620528771384,0.912088548323837,0.206968323629834,0.993469683402015,0.912839919944401,1.98004826443638,-1.78399281161868
segment,ce,0.0670995670995671,0.932900432900433,0.223675721940057,0.995058813240631,0.922426003013764,9.1637442168679,-3.46461066059063
semeion,ce,0.0370322327044025,0.96281862745098,0.161833385915905,0.99938575708061,0.959114656991251,7.3646905205485,-5.01577044494799
shuttle,ce,0.001,0.802639351458189,0.00441064450174785,0.999538370595833,0.997185212359492,7.15266024868524,-2.20478309133715
sick,ce,0.0275707689500793,0.81538285658436,0.0932671529774088,0.960480659894848,0.735630800546717,2.8996908121151,-1.69890543104514
spambase,ce,0.0575945487126285,0.937044279198821,0.188119412221565,0.976867955401739,0.879161230478908,4.16870567470727,-5.34235554807288
splice,ce,0.0338557993730408,0.962672091876277,0.119258963155386,0.995993868565906,0.945069508898221,-0.0671978126121884,-4.5627893923725
steel-plates-fault,ce,0.219992069785884,0.786147502698363,0.604084278198032,0.968841300516428,0.715841259365364,1.59728403191371,-2.62546810431969
sylvine,ce,0.0634266873781677,0.936570555690662,0.185804324759532,0.975292956875456,0.874623523145717,5.18291458860498,-5.61410500224178
tic-tac-toe,ce,0.0167105263157895,0.98015010500779,0.0986744786143643,0.993224533215045,0.963570975711054,8.84720830421552,-3.07209066261739
vehicle,ce,0.130028011204482,0.871335725677831,0.329691708152035,0.971966975930578,0.828238270856524,5.40319224160112,-3.77899224214274
wall-robot-navigation,ce,0.0661669523137413,0.924483100656416,0.207069270808013,0.991905117714212,0.900083116652268,3.58508741910551,-2.81729088564852
