nrow,nfeatures,n_layers,neurons,p,opt_lr,opt_weight_decay,epochs,rss_kb,rss_mib
206,50,2,32,0.2,1e-05,1e-06,10,655232,639.87500000000000000000
379,50,2,32,0.2,1e-05,1e-06,10,644080,628.98437500000000000000
695,50,2,32,0.2,1e-05,1e-06,10,648288,633.09375000000000000000
1274,50,2,32,0.2,1e-05,1e-06,10,655808,640.43750000000000000000
2335,50,2,32,0.2,1e-05,1e-06,10,658496,643.06250000000000000000
4281,50,2,32,0.2,1e-05,1e-06,10,661232,645.73437500000000000000
7847,50,2,32,0.2,1e-05,1e-06,10,677616,661.73437500000000000000
14384,50,2,32,0.2,1e-05,1e-06,10,724064,707.09375000000000000000
26366,50,2,32,0.2,1e-05,1e-06,10,787952,769.48437500000000000000
48329,50,2,32,0.2,1e-05,1e-06,10,795824,777.17187500000000000000
88586,50,2,32,0.2,1e-05,1e-06,10,820592,801.35937500000000000000
162377,50,2,32,0.2,1e-05,1e-06,10,788384,769.90625000000000000000
297635,50,2,32,0.2,1e-05,1e-06,10,780352,762.06250000000000000000
545559,50,2,32,0.2,1e-05,1e-06,10,816176,797.04687500000000000000
1e+06,50,2,32,0.2,1e-05,1e-06,10,805408,786.53125000000000000000
10,50,4,32,0.2,1e-05,1e-06,10,592528,578.64062500000000000000
18,50,4,32,0.2,1e-05,1e-06,10,612848,598.48437500000000000000
33,50,4,32,0.2,1e-05,1e-06,10,610176,595.87500000000000000000
61,50,4,32,0.2,1e-05,1e-06,10,625024,610.37500000000000000000
112,50,4,32,0.2,1e-05,1e-06,10,634672,619.79687500000000000000
206,50,4,32,0.2,1e-05,1e-06,10,647840,632.65625000000000000000
379,50,4,32,0.2,1e-05,1e-06,10,644288,629.18750000000000000000
695,50,4,32,0.2,1e-05,1e-06,10,649744,634.51562500000000000000
1274,50,4,32,0.2,1e-05,1e-06,10,663328,647.78125000000000000000
2335,50,4,32,0.2,1e-05,1e-06,10,663024,647.48437500000000000000
4281,50,4,32,0.2,1e-05,1e-06,10,672176,656.42187500000000000000
7847,50,4,32,0.2,1e-05,1e-06,10,668144,652.48437500000000000000
14384,50,4,32,0.2,1e-05,1e-06,10,710816,694.15625000000000000000
26366,50,4,32,0.2,1e-05,1e-06,10,756304,738.57812500000000000000
48329,50,4,32,0.2,1e-05,1e-06,10,776544,758.34375000000000000000
88586,50,4,32,0.2,1e-05,1e-06,10,859968,839.81250000000000000000
162377,50,4,32,0.2,1e-05,1e-06,10,814976,795.87500000000000000000
297635,50,4,32,0.2,1e-05,1e-06,10,864208,843.95312500000000000000
545559,50,4,32,0.2,1e-05,1e-06,10,820576,801.34375000000000000000
1e+06,50,4,32,0.2,1e-05,1e-06,10,820304,801.07812500000000000000
10,50,8,32,0.2,1e-05,1e-06,10,616192,601.75000000000000000000
18,50,8,32,0.2,1e-05,1e-06,10,619200,604.68750000000000000000
33,50,8,32,0.2,1e-05,1e-06,10,615920,601.48437500000000000000
61,50,8,32,0.2,1e-05,1e-06,10,665680,650.07812500000000000000
112,50,8,32,0.2,1e-05,1e-06,10,650752,635.50000000000000000000
