nrow,nfeatures,n_blocks,d_block,d_hidden_multiplier,dropout1,dropout2,lr,weight_decay,epochs,rss_kb,rss_mib
50000,100,4,64,2,0.2,0.2,1e-05,1e-06,10,909456,888.14062500000000000000
1e+05,100,4,64,2,0.2,0.2,1e-05,1e-06,10,875056,854.54687500000000000000
100,500,4,64,2,0.2,0.2,1e-05,1e-06,10,713760,697.03125000000000000000
1000,500,4,64,2,0.2,0.2,1e-05,1e-06,10,891120,870.23437500000000000000
5000,500,4,64,2,0.2,0.2,1e-05,1e-06,10,917136,895.64062500000000000000
10000,500,4,64,2,0.2,0.2,1e-05,1e-06,10,914224,892.79687500000000000000
50000,500,4,64,2,0.2,0.2,1e-05,1e-06,10,929472,907.68750000000000000000
1e+05,500,4,64,2,0.2,0.2,1e-05,1e-06,10,914528,893.09375000000000000000
100,1000,4,64,2,0.2,0.2,1e-05,1e-06,10,718112,701.28125000000000000000
1000,1000,4,64,2,0.2,0.2,1e-05,1e-06,10,834688,815.12500000000000000000
5000,1000,4,64,2,0.2,0.2,1e-05,1e-06,10,900832,879.71875000000000000000
10000,1000,4,64,2,0.2,0.2,1e-05,1e-06,10,906576,885.32812500000000000000
50000,1000,4,64,2,0.2,0.2,1e-05,1e-06,10,872544,852.09375000000000000000
1e+05,1000,4,64,2,0.2,0.2,1e-05,1e-06,10,903328,882.15625000000000000000
100,1,4,128,2,0.2,0.2,1e-05,1e-06,10,687392,671.28125000000000000000
1000,1,4,128,2,0.2,0.2,1e-05,1e-06,10,869808,849.42187500000000000000
5000,1,4,128,2,0.2,0.2,1e-05,1e-06,10,912864,891.46875000000000000000
10000,1,4,128,2,0.2,0.2,1e-05,1e-06,10,854624,834.59375000000000000000
50000,1,4,128,2,0.2,0.2,1e-05,1e-06,10,882272,861.59375000000000000000
1e+05,1,4,128,2,0.2,0.2,1e-05,1e-06,10,914896,893.45312500000000000000
100,10,4,128,2,0.2,0.2,1e-05,1e-06,10,684880,668.82812500000000000000
1000,10,4,128,2,0.2,0.2,1e-05,1e-06,10,870896,850.48437500000000000000
5000,10,4,128,2,0.2,0.2,1e-05,1e-06,10,904432,883.23437500000000000000
10000,10,4,128,2,0.2,0.2,1e-05,1e-06,10,912992,891.59375000000000000000
50000,10,4,128,2,0.2,0.2,1e-05,1e-06,10,903152,881.98437500000000000000
1e+05,10,4,128,2,0.2,0.2,1e-05,1e-06,10,930176,908.37500000000000000000
100,50,4,128,2,0.2,0.2,1e-05,1e-06,10,702368,685.90625000000000000000
1000,50,4,128,2,0.2,0.2,1e-05,1e-06,10,873728,853.25000000000000000000
5000,50,4,128,2,0.2,0.2,1e-05,1e-06,10,898656,877.59375000000000000000
10000,50,4,128,2,0.2,0.2,1e-05,1e-06,10,914016,892.59375000000000000000
50000,50,4,128,2,0.2,0.2,1e-05,1e-06,10,908528,887.23437500000000000000
1e+05,50,4,128,2,0.2,0.2,1e-05,1e-06,10,888464,867.64062500000000000000
100,100,4,128,2,0.2,0.2,1e-05,1e-06,10,693264,677.01562500000000000000
1000,100,4,128,2,0.2,0.2,1e-05,1e-06,10,880576,859.93750000000000000000
5000,100,4,128,2,0.2,0.2,1e-05,1e-06,10,885600,864.84375000000000000000
10000,100,4,128,2,0.2,0.2,1e-05,1e-06,10,887936,867.12500000000000000000
50000,100,4,128,2,0.2,0.2,1e-05,1e-06,10,884672,863.93750000000000000000
1e+05,100,4,128,2,0.2,0.2,1e-05,1e-06,10,921120,899.53125000000000000000
100,500,4,128,2,0.2,0.2,1e-05,1e-06,10,707584,691.00000000000000000000
1000,500,4,128,2,0.2,0.2,1e-05,1e-06,10,832272,812.76562500000000000000
5000,500,4,128,2,0.2,0.2,1e-05,1e-06,10,913120,891.71875000000000000000
10000,500,4,128,2,0.2,0.2,1e-05,1e-06,10,907024,885.76562500000000000000
50000,500,4,128,2,0.2,0.2,1e-05,1e-06,10,912944,891.54687500000000000000
1e+05,500,4,128,2,0.2,0.2,1e-05,1e-06,10,901216,880.09375000000000000000
100,1000,4,128,2,0.2,0.2,1e-05,1e-06,10,694960,678.67187500000000000000
1000,1000,4,128,2,0.2,0.2,1e-05,1e-06,10,845616,825.79687500000000000000
5000,1000,4,128,2,0.2,0.2,1e-05,1e-06,10,880848,860.20312500000000000000
10000,1000,4,128,2,0.2,0.2,1e-05,1e-06,10,868912,848.54687500000000000000
50000,1000,4,128,2,0.2,0.2,1e-05,1e-06,10,875040,854.53125000000000000000
1e+05,1000,4,128,2,0.2,0.2,1e-05,1e-06,10,882336,861.65625000000000000000
100,1,4,256,2,0.2,0.2,1e-05,1e-06,10,715536,698.76562500000000000000
1000,1,4,256,2,0.2,0.2,1e-05,1e-06,10,874176,853.68750000000000000000
5000,1,4,256,2,0.2,0.2,1e-05,1e-06,10,915472,894.01562500000000000000
10000,1,4,256,2,0.2,0.2,1e-05,1e-06,10,922032,900.42187500000000000000
50000,1,4,256,2,0.2,0.2,1e-05,1e-06,10,907552,886.28125000000000000000
1e+05,1,4,256,2,0.2,0.2,1e-05,1e-06,10,900928,879.81250000000000000000
100,10,4,256,2,0.2,0.2,1e-05,1e-06,10,740528,723.17187500000000000000
1000,10,4,256,2,0.2,0.2,1e-05,1e-06,10,872816,852.35937500000000000000
5000,10,4,256,2,0.2,0.2,1e-05,1e-06,10,926336,904.62500000000000000000
10000,10,4,256,2,0.2,0.2,1e-05,1e-06,10,939872,917.84375000000000000000
50000,10,4,256,2,0.2,0.2,1e-05,1e-06,10,927200,905.46875000000000000000
1e+05,10,4,256,2,0.2,0.2,1e-05,1e-06,10,937344,915.37500000000000000000
100,50,4,256,2,0.2,0.2,1e-05,1e-06,10,721824,704.90625000000000000000
1000,50,4,256,2,0.2,0.2,1e-05,1e-06,10,868976,848.60937500000000000000
5000,50,4,256,2,0.2,0.2,1e-05,1e-06,10,922000,900.39062500000000000000
10000,50,4,256,2,0.2,0.2,1e-05,1e-06,10,929200,907.42187500000000000000
50000,50,4,256,2,0.2,0.2,1e-05,1e-06,10,924672,903.00000000000000000000
1e+05,50,4,256,2,0.2,0.2,1e-05,1e-06,10,927232,905.50000000000000000000
100,100,4,256,2,0.2,0.2,1e-05,1e-06,10,736384,719.12500000000000000000
1000,100,4,256,2,0.2,0.2,1e-05,1e-06,10,876224,855.68750000000000000000
5000,100,4,256,2,0.2,0.2,1e-05,1e-06,10,910736,889.39062500000000000000
10000,100,4,256,2,0.2,0.2,1e-05,1e-06,10,925440,903.75000000000000000000
50000,100,4,256,2,0.2,0.2,1e-05,1e-06,10,935360,913.43750000000000000000
1e+05,100,4,256,2,0.2,0.2,1e-05,1e-06,10,931632,909.79687500000000000000
100,500,4,256,2,0.2,0.2,1e-05,1e-06,10,760256,742.43750000000000000000
1000,500,4,256,2,0.2,0.2,1e-05,1e-06,10,899728,878.64062500000000000000
5000,500,4,256,2,0.2,0.2,1e-05,1e-06,10,921200,899.60937500000000000000
10000,500,4,256,2,0.2,0.2,1e-05,1e-06,10,917984,896.46875000000000000000
50000,500,4,256,2,0.2,0.2,1e-05,1e-06,10,897728,876.68750000000000000000
1e+05,500,4,256,2,0.2,0.2,1e-05,1e-06,10,926832,905.10937500000000000000
100,1000,4,256,2,0.2,0.2,1e-05,1e-06,10,757952,740.18750000000000000000
1000,1000,4,256,2,0.2,0.2,1e-05,1e-06,10,861328,841.14062500000000000000
5000,1000,4,256,2,0.2,0.2,1e-05,1e-06,10,867792,847.45312500000000000000
10000,1000,4,256,2,0.2,0.2,1e-05,1e-06,10,908336,887.04687500000000000000
50000,1000,4,256,2,0.2,0.2,1e-05,1e-06,10,898880,877.81250000000000000000
1e+05,1000,4,256,2,0.2,0.2,1e-05,1e-06,10,931856,910.01562500000000000000
100,1,4,512,2,0.2,0.2,1e-05,1e-06,10,845088,825.28125000000000000000
1000,1,4,512,2,0.2,0.2,1e-05,1e-06,10,949104,926.85937500000000000000
5000,1,4,512,2,0.2,0.2,1e-05,1e-06,10,991344,968.10937500000000000000
10000,1,4,512,2,0.2,0.2,1e-05,1e-06,10,971808,949.03125000000000000000
50000,1,4,512,2,0.2,0.2,1e-05,1e-06,10,967808,945.12500000000000000000
1e+05,1,4,512,2,0.2,0.2,1e-05,1e-06,10,977888,954.96875000000000000000
100,10,4,512,2,0.2,0.2,1e-05,1e-06,10,821888,802.62500000000000000000
1000,10,4,512,2,0.2,0.2,1e-05,1e-06,10,960448,937.93750000000000000000
5000,10,4,512,2,0.2,0.2,1e-05,1e-06,10,981968,958.95312500000000000000
10000,10,4,512,2,0.2,0.2,1e-05,1e-06,10,1027840,1003.75000000000000000000
50000,10,4,512,2,0.2,0.2,1e-05,1e-06,10,1023824,999.82812500000000000000
1e+05,10,4,512,2,0.2,0.2,1e-05,1e-06,10,989632,966.43750000000000000000
100,50,4,512,2,0.2,0.2,1e-05,1e-06,10,834912,815.34375000000000000000
1000,50,4,512,2,0.2,0.2,1e-05,1e-06,10,969328,946.60937500000000000000
5000,50,4,512,2,0.2,0.2,1e-05,1e-06,10,975712,952.84375000000000000000
10000,50,4,512,2,0.2,0.2,1e-05,1e-06,10,986080,962.96875000000000000000
50000,50,4,512,2,0.2,0.2,1e-05,1e-06,10,958304,935.84375000000000000000
1e+05,50,4,512,2,0.2,0.2,1e-05,1e-06,10,998272,974.87500000000000000000
