"","nrow","nfeatures","n_blocks","d_token","residual_dropout","attention_dropout","ffn_dropout","ffn_d_hidden_multiplier","lr","weight_decay","epochs"
"200",1000,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"201",5000,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"202",10000,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"203",50000,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"204",1e+05,100,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"205",100,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"206",1000,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"207",5000,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"208",10000,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"209",50000,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"210",1e+05,500,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"211",100,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"212",1000,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"213",5000,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"214",10000,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"215",50000,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"216",1e+05,1000,4,128,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"217",100,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"218",1000,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"219",5000,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"220",10000,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"221",50000,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"222",1e+05,1,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"223",100,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"224",1000,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"225",5000,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"226",10000,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"227",50000,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"228",1e+05,10,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"229",100,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"230",1000,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"231",5000,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"232",10000,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"233",50000,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"234",1e+05,50,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"235",100,100,4,256,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
