task,measure,ce,bacc,logloss,auc,mcc,catboost.learning_rate,catboost.depth,catboost.l2_leaf_reg
credit-approval,auc,0.139130434782609,0.863738626964434,0.382522093641037,0.955407760509628,0.725021507753084,-1.93238334680325,9,348.055526633512
credit-g,auc,0.232,0.648571428571429,0.49458089567055,0.820095238095238,0.382029361845828,-2.3725496673521,7,53.1885112934853
cylinder-bands,auc,0.144444444444444,0.844583346614816,0.353405251881691,0.93323126514089,0.705444529141571,-2.27735842303052,6,0.0203514667651616
diabetes,auc,0.20580997949419,0.748290598290598,0.473434766469141,0.866240740740741,0.533654610442808,-1.64631563400421,8,3.79406629972719
dilbert,auc,0.0092,0.990847895392314,0.0267600595822481,0.999948024929984,0.988523219380327,-2.1680968859885,8,0.0156708770163823
dna,auc,0.0348405985686402,0.9650109025759,0.134658764146989,0.996786067166228,0.943979294604283,-3.98631860242511,11,0.0458526831713971
dresses-sales,auc,0.37,0.573973727422003,0.665989489212294,0.70303776683087,0.197478148189847,-1.22715434244201,7,568.245654546807
electricity,auc,0.0531426538333649,0.945230291062366,0.139454601040526,0.987627601188189,0.891207994555899,-2.39808195621342,8,3.810420074953
eucalyptus,auc,0.293483894853758,0.671929847929848,0.699046370666962,0.936286802423166,0.624927136785218,-2.02883180894196,4,0.30359641361353
fabert,auc,0.270489211858108,0.695700095344331,0.875243836368258,0.958605662576968,0.676967990228987,-4.17323720418083,8,0.324597949500196
first-order-theorem-proving,auc,0.367932404822267,0.508161579175333,1.03819775416544,0.869183640502756,0.497598035630842,-4.78179422936213,11,3.75200897846813
har,auc,0.00621425269136781,0.994085596453407,0.0185060183771599,0.999945875750141,0.99253277359753,-2.42768950110529,10,0.0530029050877783
higgs,auc,0.265813360530342,0.732732538097563,0.51987692440592,0.816583891750991,0.466110709502689,-3.36579875136089,10,994.987421093714
ilpd,auc,0.253769725306838,0.595539770786363,0.501667220416211,0.810537507686001,0.248374246854953,-2.24634963051684,11,0.135613463151967
jannis,auc,0.272091070531022,0.552503141982152,0.671566067755081,0.873867299759226,0.568104635016595,-4.02414042351106,7,2.88572385383048
jasmine,auc,0.185004825929833,0.814993288590604,0.394106448242536,0.890019398525592,0.645648062459673,-2.19628671066991,9,12.7856575552269
jm1,auc,0.181167203451629,0.576569344074487,0.420000967375007,0.76107496109057,0.258461953805903,-3.89718979665597,11,11.5809550582706
jungle_chess_2pcs_raw_endgame_complete,auc,0.127869931460325,0.821066696482325,0.235774503094124,0.980750323385988,0.776717954342406,-4.10341615568183,7,0.479027608917328
kc1,auc,0.131345068833221,0.637875673120636,0.350868709508327,0.838574490511163,0.389478013792488,-3.01255170145413,11,6.3208164237123
kc2,auc,0.143722786647315,0.719961989230282,0.369553981593156,0.881888396156689,0.521945767490898,-1.18848961921958,5,258.899399546447
kr-vs-kp,auc,0.00563283699059561,0.994330366614552,0.0292829429324195,0.999917605449576,0.988801009228557,-2.51157533216179,10,3.26764488992025
madelon,auc,0.134615384615385,0.865384615384615,0.338337461843959,0.939579881656805,0.731616386143554,-2.64586510360719,9,68.6706276687784
mfeat-factors,auc,0.031,0.969,0.215558916501739,0.999622222222222,0.965710846364377,-2.78097655839761,11,17.377199683574
mfeat-fourier,auc,0.156,0.844,0.463475602952666,0.989455555555556,0.827232547617514,-1.18210970778876,6,57.8815567707524
mfeat-karhunen,auc,0.0595,0.9405,2.21092920277246,0.999455555555556,0.934333830200556,-4.3639471261341,11,90.5576071304365
mfeat-morphological,auc,0.254,0.746,0.624354306250646,0.974591666666667,0.719680629441363,-0.0570858444534568,2,11.2319990830668
mfeat-pixel,auc,0.0325,0.9675,0.188625130197043,0.999761111111111,0.964046543700425,-1.65604746471805,8,3.51964748809231
mfeat-zernike,auc,0.208,0.792,0.569063235704476,0.982113888888889,0.769649327142405,-1.47827435508347,2,8.79310169384559
nomao,auc,0.0246046382489438,0.968572971537133,0.0665591468429518,0.99658345023132,0.9395835933725,-2.68702916822012,11,36.1837357197595
