task,measure,ce,bacc,logloss,auc,mcc,ranger.mtry.ratio,ranger.replace,ranger.sample.fraction,ranger.num.trees
wall-robot-navigation,ce,0.00293141109654871,0.994574545327277,0.0162678035071981,0.999750414282765,0.995586849773852,0.633283854462206,FALSE,0.971068879263476,1000
wdbc,ce,0.0281015037593985,0.969859307359307,0.159819851908312,0.990381021095307,0.940979296754879,0.223287458065897,FALSE,0.939100372022949,1000
wilt,ce,0.0142583371832384,0.911125395871414,0.0541973814928102,0.989030359672147,0.855945716543211,0.748401284683496,TRUE,0.879970806068741,1000
APSFailure,bacc,0.00514473684210526,0.892760814507064,0.0241265282659716,0.989898153502848,0.846650022703414,0.435006494401023,FALSE,0.852979076677002,1000
Amazon_employee_access,bacc,0.0565168285415463,0.654838092876499,0.372480995268382,0.82821347631203,0.384905989887869,0.838194196810946,FALSE,0.844937347597443,1000
Australian,bacc,0.123188405797101,0.878079099734448,0.400356906010281,0.942029878252289,0.754990326006625,0.746365473838523,TRUE,0.474436716479249,1000
Bioresponse,bacc,0.183685815602837,0.81377757106022,0.436734216851428,0.881268130150525,0.629636489347778,0.233765267999843,FALSE,0.685894290101714,1000
CIFAR_10,bacc,0.49615,0.50385,1.56921006754954,0.918338327160494,0.449300334702282,0.058716923231259,FALSE,0.982025480130687,1000
Fashion-MNIST,bacc,0.106357142857143,0.893642857142857,0.334935854197469,0.995079115646259,0.882002751573749,0.078888196265325,FALSE,0.997495969082229,1000
GesturePhaseSegmentationProcessed,bacc,0.292413418981168,0.642635332371872,0.840962599801699,0.93930636160719,0.61495226079606,0.265688910614699,FALSE,0.996681665512733,1000
Internet-Advertisements,bacc,0.0204342880584769,0.945246171240621,0.123686175054477,0.98445575084798,0.913613743001654,0.12871603295207,FALSE,0.802836253074929,1000
KDDCup09_appetency,bacc,0.02658,0.522008035160692,0.245492753215537,0.730002356553393,0.0561365301507382,0.935933992965147,FALSE,0.997173618059605,1000
MiceProtein,bacc,0.00277777777777778,0.9975,0.215765438670124,0.99996336996337,0.996870193652882,0.164599231444299,FALSE,0.942434089817107,1000
PhishingWebsites,bacc,0.0257793360771767,0.97299417089078,0.0707999818836746,0.997478318445808,0.94782958278629,0.244991821004078,FALSE,0.903768914472312,1000
adult,bacc,0.133983093542971,0.782346254909788,0.296825111791981,0.917280475454316,0.611348166416463,0.162128897383809,FALSE,0.70556907588616,1000
analcatdata_authorship,bacc,0.00355742296918768,0.99421875,0.22079213284953,1,0.994902774139156,0.0366001252550632,FALSE,0.937109921476804,1000
analcatdata_dmft,bacc,0.741487341772152,0.257786172161172,1.77507956700203,0.610167480667481,0.108680160442265,0.391587799647823,FALSE,0.89990957507398,1000
balance-scale,bacc,0.0832309267793139,0.663218390804598,0.566026273917288,0.946896551724138,0.85523609904635,0.154618651838973,TRUE,0.254945930209942,1000
