task,measure,ce,bacc,logloss,auc,mcc,kknn.k,kknn.distance
phoneme,bacc,0.0914130211542411,0.881533491012472,3.15729389722958,0.881533491012472,0.776736753287651,0.450646442322798,1.23983312677592
qsar-biodeg,bacc,0.133656783468104,0.86064182194617,0.355468994018279,0.92269515922311,0.708757146203211,3.89570099868503,1.39681569859386
satimage,bacc,0.0835147744945568,0.899439057805795,0.36705990201646,0.99227383665749,0.89698445942285,2.69213954292891,1.01172526739538
segment,bacc,0.0761904761904762,0.923809523809524,0.725767866722847,0.992535747081202,0.911568679141582,1.81576041184082,1.07841657660902
semeion,bacc,0.0734473270440252,0.925938725490196,0.409435636902842,0.998542619825708,0.919288592205801,2.61056362141179,1.31319371517748
shuttle,bacc,0.00110344827586207,0.932292781211072,0.00620321683420904,0.999412200488196,0.996894779398188,2.55891860264344,3.62262654837221
sick,bacc,0.0392348392348392,0.793000171255981,0.622155606857466,0.860203683618126,0.636889849792788,1.17334030327833,2.54812743607909
spambase,bacc,0.0719386022823729,0.920567495036581,0.388731202145049,0.970442836762335,0.849082864812222,2.4430760443364,1.40144315268844
splice,bacc,0.111912225705329,0.918316752999695,0.497679938528425,0.994032561079374,0.835489843692646,4.5967133311545,1.08478621859103
steel-plates-fault,bacc,0.243695479777954,0.790042529266518,1.16242002959997,0.972931216961057,0.689413743860641,2.56903618538355,1.00815937481821
sylvine,bacc,0.120805921052632,0.879194278939689,0.366996701478866,0.959219936266947,0.773253963261091,3.99206252715927,1.01511812303215
tic-tac-toe,bacc,0.0114912280701754,0.983422459893048,0.16819779863275,0.999758723952272,0.97481164210693,2.93963992644606,2.68378820363432
vehicle,bacc,0.27781512605042,0.724327295511506,0.807912378224394,0.923964470980021,0.633162300991783,2.55402663216194,3.06307751871645
volkert,bacc,0.294066197907735,0.659616983541275,2.26615654709455,0.959158930692569,0.653838459141596,2.39055642720149,1.03635729011148
wall-robot-navigation,bacc,0.0703837752461606,0.927148623156195,0.489662551594857,0.990503742469789,0.893993442362298,1.79992968757259,1.00106251984835
